,precision,recall,f1-score,support
blues,0.9416058394160584,0.7166666666666667,0.8138801261829652,180.0
classical,0.7874015748031497,1.0,0.881057268722467,100.0
country,0.8176470588235294,0.9266666666666666,0.86875,150.0
disco,0.7898089171974523,0.8266666666666667,0.8078175895765471,150.0
hiphop,0.8,0.7272727272727273,0.761904761904762,99.0
jazz,0.8432203389830508,0.9045454545454545,0.8728070175438597,220.0
metal,0.8734177215189873,0.9857142857142858,0.9261744966442954,140.0
pop,0.7096774193548387,0.7857142857142857,0.7457627118644068,140.0
reggae,0.7413793103448276,0.6789473684210526,0.7087912087912089,190.0
rock,0.6382978723404256,0.46511627906976744,0.5381165919282512,129.0
accuracy,0.8010680907877169,0.8010680907877169,0.8010680907877169,0.8010680907877169
macro avg,0.7942456052782318,0.8017310400737575,0.7925061773158764,1498.0
weighted avg,0.800328367005602,0.8010680907877169,0.7955233528238821,1498.0
